app_id,app_name,app_category,shader,shader_exists,pubspec_declared,has_extra_params,sync_status,registry_resolution,registry_match_guess,recommended_action
nova_mandelbrot,Nova Mandelbrot,Escape-Time,shaders/escape_time_family/families/nova/parameter_plane/nova_mandelbrot_gpu.frag,true,true,false,pending,,mandelbrot:Mandelbrot:implemented:Escape-Time,reconcile_alias_or_existing_reference
orbit_trap_cross,Orbit Trap Cross,Escape-Time,shaders/escape_time_family/orbit_and_domain/orbit_trap_cross_gpu.frag,true,true,false,pending,,f1156_orbit_trap_cross:Orbit Trap Cross:reference:Escape-Time (Complex Plane),reconcile_alias_or_existing_reference
orbit_trap_point,Orbit Trap Point,Escape-Time,shaders/escape_time_family/orbit_and_domain/orbit_trap_point_gpu.frag,true,true,false,pending,,f1158_orbit_trap_point_origin:Orbit Trap Point (Origin):reference:Escape-Time (Complex Plane); f1159_orbit_trap_point_custom:Orbit Trap Point (Custom):reference:Escape-Time (Complex Plane),reconcile_alias_or_existing_reference
orbit_trap_ring,Orbit Trap Ring,Escape-Time,shaders/escape_time_family/orbit_and_domain/orbit_trap_ring_gpu.frag,true,true,false,pending,,,add_new_registry_entry
ostrowski,Ostrowski,Escape-Time,shaders/root_finding/ostrowski_gpu.frag,true,true,false,pending,,,add_new_registry_entry
phoenix,Phoenix,Escape-Time,shaders/escape_time_family/core/phoenix_gpu.frag,true,true,false,pending,,,review_duplicate_or_renderer_variant
picard_mann_newton,Picard Mann Newton,Escape-Time,shaders/root_finding/picard_mann_newton_gpu.frag,true,true,false,pending,,,add_new_registry_entry
schroeder_z5,Schroeder Z5,Escape-Time,shaders/root_finding/schroeder_z5_gpu.frag,true,true,false,pending,,schroeder:Schröder:implemented:Escape-Time,reconcile_alias_or_existing_reference
schroeder_z6,Schroeder Z6,Escape-Time,shaders/root_finding/schroeder_z6_gpu.frag,true,true,false,pending,,schroeder:Schröder:implemented:Escape-Time,reconcile_alias_or_existing_reference
secant_julia,Secant Julia,Escape-Time,shaders/trigonometric_and_transcendental/elementary_trig/secant_julia_gpu.frag,true,true,false,pending,,,add_new_registry_entry
secant_mandelbrot,Secant Mandelbrot,Escape-Time,shaders/trigonometric_and_transcendental/elementary_trig/secant_mandelbrot_gpu.frag,true,true,false,pending,,mandelbrot:Mandelbrot:implemented:Escape-Time,reconcile_alias_or_existing_reference
sierpinski_julia_rational,Sierpinski Julia Rational,Escape-Time,shaders/ifs_and_geometric/sierpinski_julia_rational_gpu.frag,true,true,false,pending,,,add_new_registry_entry
sprott_g,Sprott G,Escape-Time,shaders/strange_attractors/sprott_g_gpu.frag,true,true,false,pending,,f0020_sprott_g:Sprott G:reference:Strange Attractors,reconcile_alias_or_existing_reference
sprott_h,Sprott H,Escape-Time,shaders/strange_attractors/sprott_h_gpu.frag,true,true,false,pending,,f0021_sprott_h:Sprott H:reference:Strange Attractors,reconcile_alias_or_existing_reference
sprott_i,Sprott I,Escape-Time,shaders/strange_attractors/sprott_i_gpu.frag,true,true,false,pending,,f0022_sprott_i:Sprott I:reference:Strange Attractors,reconcile_alias_or_existing_reference
sprott_k,Sprott K,Escape-Time,shaders/strange_attractors/sprott_k_gpu.frag,true,true,false,pending,,f0024_sprott_k:Sprott K:reference:Strange Attractors,reconcile_alias_or_existing_reference
sprott_l,Sprott L,Escape-Time,shaders/strange_attractors/sprott_l_gpu.frag,true,true,false,pending,,f0025_sprott_l:Sprott L:reference:Strange Attractors,reconcile_alias_or_existing_reference
sprott_m,Sprott M,Escape-Time,shaders/strange_attractors/sprott_m_gpu.frag,true,true,false,pending,,f0026_sprott_m:Sprott M:reference:Strange Attractors,reconcile_alias_or_existing_reference
sprott_n,Sprott N,Escape-Time,shaders/strange_attractors/sprott_n_gpu.frag,true,true,false,pending,,f0027_sprott_n:Sprott N:reference:Strange Attractors,reconcile_alias_or_existing_reference
sprott_o,Sprott O,Escape-Time,shaders/strange_attractors/sprott_o_gpu.frag,true,true,false,pending,,f0028_sprott_o:Sprott O:reference:Strange Attractors,reconcile_alias_or_existing_reference
sprott_s,Sprott S,Escape-Time,shaders/strange_attractors/sprott_s_gpu.frag,true,true,false,pending,,f0032_sprott_s:Sprott S:reference:Strange Attractors,reconcile_alias_or_existing_reference
steffensen,Steffensen,Escape-Time,shaders/root_finding/steffensen_gpu.frag,true,true,false,pending,,steffensen_z3:Steffensen z³−1:implemented:Escape-Time; steffensen_z4:Steffensen z⁴−1:implemented:Escape-Time; steffensen_z5:Steffensen z⁵−1:implemented:Escape-Time,reconcile_alias_or_existing_reference
steffensen_order8,Steffensen Order8,Escape-Time,shaders/root_finding/steffensen_order8_gpu.frag,true,true,false,pending,,,add_new_registry_entry
superexponential,Superexponential,Escape-Time,shaders/trigonometric_and_transcendental/exponential_iteration/superexponential_gpu.frag,true,true,false,pending,,exponential:Exponential Fractal:implemented:Escape-Time,reconcile_alias_or_existing_reference
super_halley,Super Halley,Escape-Time,shaders/root_finding/super_halley_gpu.frag,true,true,false,pending,,,add_new_registry_entry
symmetric_icon,Symmetric Icon,Escape-Time,shaders/escape_time_family/geometry_and_ifs/symmetric_icon_gpu.frag,true,true,false,pending,,f0184_centrally_symmetric_julia:Centrally Symmetric Julia:reference:Escape-Time (Complex Plane),reconcile_alias_or_existing_reference
transcendental_sin,Transcendental Sin,Escape-Time,shaders/trigonometric_and_transcendental/elementary_trig/transcendental_sin_gpu.frag,true,true,false,pending,,,add_new_registry_entry
traub_ostrowski,Traub Ostrowski,Escape-Time,shaders/root_finding/traub_ostrowski_gpu.frag,true,true,false,pending,,,add_new_registry_entry
weierstrass_elliptic,Weierstrass Elliptic,Escape-Time,shaders/trigonometric_and_transcendental/special_functions/weierstrass_elliptic_gpu.frag,true,true,false,pending,,f0534_weierstrass_elliptic:Weierstrass Elliptic:reference:Escape-Time (Complex Plane); f0762_weierstrass_function:Weierstrass Function:reference:Number-Theory Fractals,reconcile_alias_or_existing_reference
weierstrass_function,Weierstrass Function,Escape-Time,shaders/trigonometric_and_transcendental/special_functions/weierstrass_function_gpu.frag,true,true,false,pending,,"f0762_weierstrass_function:Weierstrass Function:reference:Number-Theory Fractals; f0763_weierstrass_function_a_0_3_b_7:Weierstrass Function (a=0.3, b=7):reference:Number-Theory Fractals",reconcile_alias_or_existing_reference
newton_z3_nova,Newton z³ Nova,Convergent & Root-Finding,shaders/root_finding/newton_z3_gpu.frag,true,true,true,pending,,newton_z3:Newton Fractal (z³ - 1):implemented:Escape-Time,reconcile_alias_or_existing_reference
newton_z4_nova,Newton z⁴ Nova,Convergent & Root-Finding,shaders/root_finding/newton_z4_gpu.frag,true,true,true,pending,,newton_z4:Newton z⁴−1:implemented:Escape-Time,reconcile_alias_or_existing_reference
newton_z5_nova,Newton z⁵ Nova,Convergent & Root-Finding,shaders/root_finding/newton_z5_gpu.frag,true,true,true,pending,,newton_z5:Newton z⁵−1:implemented:Escape-Time,reconcile_alias_or_existing_reference
newton_z6_nova,Newton z⁶ Nova,Convergent & Root-Finding,shaders/root_finding/newton_z6_gpu.frag,true,true,true,pending,,newton_z6:Newton z⁶−1:implemented:Escape-Time,reconcile_alias_or_existing_reference
halley_nova,Halley Nova,Convergent & Root-Finding,shaders/root_finding/halley_gpu.frag,true,true,true,pending,,,add_new_registry_entry
schroeder_nova,Schröder Nova,Convergent & Root-Finding,shaders/root_finding/schroeder_gpu.frag,true,true,true,pending,,schroeder:Schröder:implemented:Escape-Time,reconcile_alias_or_existing_reference
householder_nova,Householder Nova,Convergent & Root-Finding,shaders/root_finding/householder_gpu.frag,true,true,true,pending,,householder:Householder Fractal:implemented:Escape-Time; f0009_householder_s_method_3rd_order:Householder's Method (3rd Order):reference:Newton / Root-Finding,reconcile_alias_or_existing_reference
phoenix_julia,Phoenix Julia,Escape-Time,shaders/escape_time_family/core/phoenix_gpu.frag,true,true,true,pending,,,add_new_registry_entry
