priority,app_id,name,kind,category,shader,shader_exists,pubspec_declared,uniform_time_declared,time_code_refs,animation_class_guess,registry_status,registry_resolution
3,legendre,Legendre Fractal,escape_time,Escape-Time,shaders/escape_time_family/newton_and_orthogonal/orthogonal_polynomial_maps/legendre_gpu.frag,true,true,true,1,color_time_parametric,exact,legendre
3,levy_c_curve,Lévy C Curve,escape_time,Escape-Time,shaders/ifs_and_geometric/levy_c_gpu.frag,true,true,true,1,color_time_parametric,exact,levy_c_curve
3,levy_tapestry,Lévy Tapestry,escape_time,Escape-Time,shaders/ifs_and_geometric/levy_tapestry_gpu.frag,true,true,true,1,color_time_parametric,exact,levy_tapestry
3,lightningbrot,LightningBrot,escape_time,Escape-Time,shaders/escape_time_family/mandelbrot_variants/iterative_maps/lightningbrot_gpu.frag,true,true,true,2,camera_or_raymarch_time_parametric,exact,lightningbrot
3,liu_chen,Liu-Chen Attractor,escape_time,Escape-Time,shaders/strange_attractors/liu_chen_gpu.frag,true,true,true,3,color_time_parametric,exact,liu_chen
3,log_spiral,Log Spiral Fractal,escape_time,Escape-Time,shaders/escape_time_family/transcendental_maps/log_spiral_gpu.frag,true,true,true,1,color_time_parametric,exact,log_spiral
3,lorenz_2d,Lorenz Attractor (2D),escape_time,Escape-Time,shaders/strange_attractors/lorenz_2d_gpu.frag,true,true,true,3,color_time_parametric,exact,lorenz_2d
3,lozi,Lozi Map,escape_time,Escape-Time,shaders/strange_attractors/lozi_gpu.frag,true,true,true,1,color_time_parametric,exact,lozi
3,lu_chen,Lu-Chen Attractor,escape_time,Escape-Time,shaders/strange_attractors/lu_chen_gpu.frag,true,true,true,3,color_time_parametric,exact,lu_chen
3,magnet1,Magnet Type I,escape_time,Escape-Time,shaders/escape_time_family/newton_and_orthogonal/magnet_maps/magnet1_gpu.frag,true,true,true,2,color_time_parametric,exact,magnet1
3,magnet1_julia,Magnet I Julia,escape_time,Escape-Time,shaders/escape_time_family/julia_variants/magnet1_julia_gpu.frag,true,true,true,2,color_time_parametric,exact,magnet1_julia
3,magnet2_julia,Magnet II Julia,escape_time,Escape-Time,shaders/escape_time_family/julia_variants/magnet2_julia_gpu.frag,true,true,true,2,color_time_parametric,exact,magnet2_julia
3,magnet_newton,Magnet Newton,escape_time,Escape-Time,shaders/root_finding/magnet_newton_gpu.frag,true,true,true,1,color_time_parametric,exact,magnet_newton
3,magnet_type_1,Magnet Fractal (Type I),escape_time,Escape-Time,shaders/escape_time_family/newton_and_orthogonal/magnet_maps/magnet1_gpu.frag,true,true,true,2,color_time_parametric,exact,magnet_type_1
3,magnet_type_2,Magnet Fractal (Type II),escape_time,Escape-Time,shaders/escape_time_family/newton_and_orthogonal/magnet_maps/magnet2_gpu.frag,true,true,true,2,color_time_parametric,exact,magnet_type_2
3,magnet_type_3,Magnet Fractal (Type III),escape_time,Escape-Time,shaders/escape_time_family/newton_and_orthogonal/magnet_maps/magnet3_gpu.frag,true,true,true,2,color_time_parametric,exact,magnet_type_3
3,manair_fire,Man-Air-Fire,escape_time,Escape-Time,shaders/escape_time_family/experimental_named/physical_simulation/manair_fire_gpu.frag,true,true,true,1,color_time_parametric,exact,manair_fire
3,mandel_julia_dual,Mandel Julia Dual,escape_time,Escape-Time,shaders/escape_time_family/core/mandel_julia_dual_gpu.frag,true,true,true,1,color_time_parametric,missing,
3,mandel_step_escape,Mandel Step Escape,escape_time,Escape-Time,shaders/legacy/escape_time/mandel_step_escape.frag,true,true,true,1,color_time_parametric,missing,
3,mandelbar_cubic,Mandelbar Cubic (Tricorn ³),escape_time,Escape-Time,shaders/escape_time_family/families/mandelbar/mandelbar_cubic_gpu.frag,true,true,true,2,color_time_parametric,exact,mandelbar_cubic
